frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
29,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.47972,1000.862005,1040.716593,,
30,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.496546,1000.878857,1040.73342,,
31,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.513299,1000.89562,1040.750172,,
32,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.529953,1000.912284,1040.766826,,
33,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.546459,1000.928765,1040.783333,,
34,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.56345,1000.94572,1040.800323,,
35,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.580248,1000.962498,1040.817122,,
36,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.596797,1000.979114,1040.83367,,
37,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.613428,1000.99576,1040.850301,,
38,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.629935,1001.012223,1040.866808,,
39,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.647051,1001.029457,1040.883924,,
40,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.666037,1001.04882,1040.90291,,
41,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.679968,1001.062438,1040.916841,,
42,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.696852,1001.079386,1040.933725,,
43,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.714203,1001.096807,1040.951076,,
0,phase_2,CHOICE1,10,block5_phase_2_t10,0.0,1001.113021,1040.9671,CHOICE1_onset,
1,phase_2,CHOICE1,10,block5_phase_2_t10,0.01628,1001.12885,1040.98338,,
2,phase_2,CHOICE1,10,block5_phase_2_t10,0.032925,1001.145481,1041.000025,,
3,phase_2,CHOICE1,10,block5_phase_2_t10,0.049643,1001.162376,1041.016743,,
4,phase_2,CHOICE1,10,block5_phase_2_t10,0.066333,1001.1788,1041.033433,,
5,phase_2,CHOICE1,10,block5_phase_2_t10,0.082822,1001.195443,1041.049922,,
6,phase_2,CHOICE1,10,block5_phase_2_t10,0.099757,1001.212371,1041.066857,,
7,phase_2,CHOICE1,10,block5_phase_2_t10,0.116111,1001.228586,1041.083211,,
8,phase_2,CHOICE1,10,block5_phase_2_t10,0.132967,1001.24551,1041.100067,,
9,phase_2,CHOICE1,10,block5_phase_2_t10,0.149939,1001.262402,1041.117038,,
10,phase_2,CHOICE1,10,block5_phase_2_t10,0.166491,1001.279126,1041.133591,,
11,phase_2,CHOICE1,10,block5_phase_2_t10,0.183039,1001.295624,1041.150139,,
12,phase_2,CHOICE1,10,block5_phase_2_t10,0.199636,1001.312206,1041.166735,,
13,phase_2,CHOICE1,10,block5_phase_2_t10,0.216657,1001.329248,1041.183756,,
14,phase_2,CHOICE1,10,block5_phase_2_t10,0.233225,1001.346491,1041.200325,,
15,phase_2,CHOICE1,10,block5_phase_2_t10,0.249823,1001.362493,1041.216923,,
16,phase_2,CHOICE1,10,block5_phase_2_t10,0.26626,1001.378833,1041.233359,,
17,phase_2,CHOICE1,10,block5_phase_2_t10,0.282852,1001.395468,1041.249952,,
18,phase_2,CHOICE1,10,block5_phase_2_t10,0.299724,1001.412324,1041.266823,,
19,phase_2,CHOICE1,10,block5_phase_2_t10,0.316258,1001.428824,1041.283358,,
20,phase_2,CHOICE1,10,block5_phase_2_t10,0.333085,1001.445918,1041.300185,,
21,phase_2,CHOICE1,10,block5_phase_2_t10,0.34953,1001.462046,1041.316629,,
22,phase_2,CHOICE1,10,block5_phase_2_t10,0.366123,1001.478637,1041.333223,,
23,phase_2,CHOICE1,10,block5_phase_2_t10,0.382838,1001.495408,1041.349938,,
24,phase_2,CHOICE1,10,block5_phase_2_t10,0.399594,1001.512126,1041.366693,,
25,phase_2,CHOICE1,10,block5_phase_2_t10,0.416262,1001.528863,1041.383362,,
26,phase_2,CHOICE1,10,block5_phase_2_t10,0.432763,1001.545276,1041.399863,,
27,phase_2,CHOICE1,10,block5_phase_2_t10,0.449491,1001.562003,1041.416591,,
28,phase_2,CHOICE1,10,block5_phase_2_t10,0.466153,1001.578748,1041.433252,,
29,phase_2,CHOICE1,10,block5_phase_2_t10,0.483162,1001.595777,1041.450262,,
30,phase_2,CHOICE1,10,block5_phase_2_t10,0.499642,1001.612673,1041.466742,,
31,phase_2,CHOICE1,10,block5_phase_2_t10,0.516519,1001.629094,1041.483619,,
32,phase_2,CHOICE1,10,block5_phase_2_t10,0.532748,1001.645365,1041.499848,,
33,phase_2,CHOICE1,10,block5_phase_2_t10,0.550022,1001.662971,1041.517121,,
34,phase_2,CHOICE1,10,block5_phase_2_t10,0.566998,1001.680109,1041.534097,,
35,phase_2,CHOICE1,10,block5_phase_2_t10,0.582836,1001.695646,1041.549936,,
36,phase_2,CHOICE1,10,block5_phase_2_t10,0.59998,1001.712762,1041.56708,,
37,phase_2,CHOICE1,10,block5_phase_2_t10,0.616171,1001.729048,1041.583271,,
