frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
9,phase_2,CHOICE1,11,block5_phase_2_t11,0.149867,1009.311901,1049.166397,,
10,phase_2,CHOICE1,11,block5_phase_2_t11,0.166464,1009.32848,1049.182994,,
11,phase_2,CHOICE1,11,block5_phase_2_t11,0.183205,1009.345205,1049.199735,,
12,phase_2,CHOICE1,11,block5_phase_2_t11,0.199752,1009.362409,1049.216282,,
13,phase_2,CHOICE1,11,block5_phase_2_t11,0.216623,1009.378577,1049.233153,,
14,phase_2,CHOICE1,11,block5_phase_2_t11,0.233278,1009.395271,1049.249808,,
15,phase_2,CHOICE1,11,block5_phase_2_t11,0.249874,1009.411955,1049.266404,,
16,phase_2,CHOICE1,11,block5_phase_2_t11,0.266571,1009.428545,1049.283101,,
17,phase_2,CHOICE1,11,block5_phase_2_t11,0.283119,1009.445112,1049.299649,,
18,phase_2,CHOICE1,11,block5_phase_2_t11,0.299722,1009.461755,1049.316252,,
19,phase_2,CHOICE1,11,block5_phase_2_t11,0.316502,1009.478536,1049.333032,,
20,phase_2,CHOICE1,11,block5_phase_2_t11,0.333108,1009.495067,1049.349639,,
21,phase_2,CHOICE1,11,block5_phase_2_t11,0.349693,1009.511703,1049.366223,,
22,phase_2,CHOICE1,11,block5_phase_2_t11,0.366453,1009.528471,1049.382983,,
23,phase_2,CHOICE1,11,block5_phase_2_t11,0.38301,1009.545,1049.39954,,
24,phase_2,CHOICE1,11,block5_phase_2_t11,0.399702,1009.561693,1049.416232,,
25,phase_2,CHOICE1,11,block5_phase_2_t11,0.416465,1009.57855,1049.432995,,
26,phase_2,CHOICE1,11,block5_phase_2_t11,0.43308,1009.595006,1049.44961,,
27,phase_2,CHOICE1,11,block5_phase_2_t11,0.449806,1009.611803,1049.466337,,
28,phase_2,CHOICE1,11,block5_phase_2_t11,0.466476,1009.628421,1049.483006,,
29,phase_2,CHOICE1,11,block5_phase_2_t11,0.48316,1009.645072,1049.49969,,
30,phase_2,CHOICE1,11,block5_phase_2_t11,0.499901,1009.661798,1049.516431,,
31,phase_2,CHOICE1,11,block5_phase_2_t11,0.516503,1009.678494,1049.533033,,
32,phase_2,CHOICE1,11,block5_phase_2_t11,0.53318,1009.695181,1049.54971,,
33,phase_2,CHOICE1,11,block5_phase_2_t11,0.54982,1009.711803,1049.56635,,
34,phase_2,CHOICE1,11,block5_phase_2_t11,0.566386,1009.728285,1049.582916,,
35,phase_2,CHOICE1,11,block5_phase_2_t11,0.583271,1009.745164,1049.599801,,
36,phase_2,CHOICE1,11,block5_phase_2_t11,0.600128,1009.764372,1049.616658,,
37,phase_2,CHOICE1,11,block5_phase_2_t11,0.61639,1009.778511,1049.63292,,
38,phase_2,CHOICE1,11,block5_phase_2_t11,0.63324,1009.795156,1049.64977,,
39,phase_2,CHOICE1,11,block5_phase_2_t11,0.650349,1009.812306,1049.666879,,
40,phase_2,CHOICE1,11,block5_phase_2_t11,0.666388,1009.828466,1049.682918,,
41,phase_2,CHOICE1,11,block5_phase_2_t11,0.684107,1009.846176,1049.700637,,
42,phase_2,CHOICE1,11,block5_phase_2_t11,0.699915,1009.861864,1049.716445,,
43,phase_2,CHOICE1,11,block5_phase_2_t11,0.71642,1009.878335,1049.73295,,
44,phase_2,CHOICE1,11,block5_phase_2_t11,0.732905,1009.894798,1049.749435,,
45,phase_2,CHOICE1,11,block5_phase_2_t11,0.750131,1009.912124,1049.766661,,
46,phase_2,CHOICE1,11,block5_phase_2_t11,0.76673,1009.928711,1049.783261,,
